id,quizId,questionText,correctAnswer,marks,explanation,difficulty,options
cmprv12ze000713jr8uh65io8,cmpqm5kgg000114l6b5r21daw,"A designer for a smart-home thermostat removes all text labels from the interface. Instead, they use a custom line-drawing of a leaf, a snowflake, and a wavy line. Support calls skyrocket because users cannot figure out how to set a schedule. The designer has unknowingly implemented:",B,1,"This is the functional definition of ""Mystery Meat Navigation"" (without using the giveaway term). Relying solely on non-standard, unlabeled iconography forces the user to expend cognitive effort to decode the interface, severely damaging learnability.",,"{""A Skeuomorphic interface"",""An interface with excessively high discoverability friction, forcing users to click elements just to learn what they do."",""Progressive Disclosure"",""The Golden Ratio""}"
cmprv13lf000b13jrke7bmknf,cmpqm5kgg000114l6b5r21daw,"A user attempts to pay a utility bill online. They click the ""Submit Payment"" button. The button visually depresses, but the screen remains static for six seconds before loading the confirmation page. The user panics, clicks the button twice more, and double-charges their account. What usability gap occurred?",B,1,"The user successfully executed the action, but the system failed to communicate back (evaluate) that it was currently processing the request. In the absence of feedback, users assume failure and repeat the action.",,"{""The system failed to bridge the Gulf of Execution."",""The system failed to bridge the Gulf of Evaluation by lacking immediate state-change visibility (e.g., a loading spinner or disabling the button)."",""The system failed to provide a forgiving data format."",""The system suffered from Feature Creep.""}"
cmprv14gp000h13jrq4jsjp5i,cmpqm5kgg000114l6b5r21daw,"A touchscreen kiosk for ordering food has a beautifully rendered, 3D graphic of a hamburger that looks exactly like a physical, pushable button. However, the system only registers a selection if the user performs a ""swipe right"" gesture on the graphic. What is the diagnosis?",B,1,"Affordances are cues that tell a user how to interact with an object. If a digital object visually begs to be tapped, but functionally requires a swipe, the resulting cognitive friction is entirely the designer's fault.",,"{""The interface lacks a forgiving format."",""The perceived visual affordance (push) directly conflicts with the required interaction model (swipe)."",""The screen violates the Gestalt principle of Closure."",""The system fails the heuristic of \""Help and Documentation.\""""}"
cmprv15c5000n13jr9uwe2bjg,cmpqmdp7u000d14l6kj78bmhe,"A desktop video editing software places the highly destructive ""Delete Clip"" tool as a tiny, 12x12 pixel icon in the exact center of a crowded top toolbar. Editors frequently misclick and delete the wrong assets. This interface is violating:",C,1,"Fitts’s Law states that target acquisition time is a function of distance and size. Destructive or primary actions need large, isolated touch targets, or should leverage infinite screen edges to prevent motor errors.",,"{""The Pareto Principle"",""Tesler's Law"",""Fitts’s Law"",""The Zeigarnik Effect""}"
cmprv15x3000r13jr7su7t6k5,cmpqmdp7u000d14l6kj78bmhe,"An enterprise dashboard displays 50 different server metrics tightly packed in a grid. The designer makes all ""Healthy"" servers a distinct blue and all ""Failing"" servers a vibrant orange. A system admin can instantly spot the 3 failing servers without scanning every row. Which psychological principle overrides the dense spatial layout here?",D,1,"While the tight grid groups everything together physically (Proximity), Similarity (specifically via strong color contrast) is a stronger visual cue. It allows the brain to instantly categorize scattered elements into distinct functional groups.",,"{Proximity,Closure,Continuity,Similarity}"
cmprv16hs000v13jro8lzcyk2,cmpqmdp7u000d14l6kj78bmhe,"A critical system warning is placed inside a vibrant, animated carousel banner at the very top of a corporate intranet homepage. Metrics show that 95% of employees scroll completely past it without reading. What psychological phenomenon explains this?",B,1,"Users have been conditioned over decades of web browsing that wide, animated rectangles at the top of pages are advertisements. They subconsciously tune out this spatial area and styling, regardless of the actual content.",,"{""Change Blindness"",""Selective Attention (Banner Blindness)"",""Sensory Adaptation"",""Cognitive Dissonance""}"
cmprv172o000z13jrym57xure,cmpqmdp7u000d14l6kj78bmhe,"A high-end meditation app features smooth, 60fps flowing water animations, soft color gradients, and gentle, synchronized haptic feedback the moment it launches. Users report feeling immediately calmer before they even start a session. According to Don Norman, this design successfully appeals to the:",C,1,"The visceral level is about immediate, subconscious sensory reactions—the raw aesthetics, feel, and initial visual/tactile impact before any conscious interaction or task execution occurs.",,"{""Reflective level"",""Behavioral level"",""Visceral level"",""Conceptual level""}"
cmprv17nm001313jrzpsv2cl2,cmpqmdp7u000d14l6kj78bmhe,"Eye-tracking studies on a news aggregator website reveal that users are reading the first two words of every headline and entirely ignoring the summaries beneath them. To optimize the layout for this behavior, the designer should:",B,1,"When users are hunting for information, they scan vertically down the left edge (the F-pattern). Placing critical information at the end of a sentence ensures it will not be seen.",,"{""Implement a Z-pattern layout with alternating images."",""Design for F-pattern scanning by front-loading the most critical keywords at the absolute beginning of every headline."",""Force users to read by removing the images."",""Convert the list into a masonry grid.""}"
cmprv151p000l13jr8upiok0h,cmpqmdp7u000d14l6kj78bmhe,"A streaming service offers 10,000 movies. Analytics show users spend an average of 35 minutes scrolling before selecting a title, or they abandon the app entirely. The design team introduces a ""Pick for me based on 3 quick questions"" feature. What human characteristic law is driving this design change?",B,1,Hick’s Law dictates that decision time increases exponentially with the volume of choices. Bypassing the massive list and narrowing the parameters reduces cognitive overload.,,"{""Fitts's Law; making the buttons larger."",""Hick’s Law; trading a slight increase in interaction cost (a 3-step quiz) for a massive reduction in decision paralysis."",""Miller's Law; chunking the 10,000 movies into 7 categories."",""Jakob's Law; mimicking a competitor's feature.""}"
cmprv15mp000p13jr7lolkv71,cmpqmdp7u000d14l6kj78bmhe,"A global shipping portal requires dock workers to enter a 16-character alphanumeric container manifest code into a single, continuous text field. The workers, wearing gloves in a fast-paced environment, constantly lose their place in the string and make typos. How should human short-term memory constraints be accommodated here?",B,1,"The human brain struggles to hold more than 7 (±2) discrete items in working memory. Grouping (chunking) a long, meaningless string of data into blocks of four makes it vastly easier to read, verify, and type.",,"{""Implement Hick's Law by removing options from the screen."",""Implement Miller’s Law via visual formatting (e.g., auto-spacing the input string as MSCU - 1938 - 4726 - 89B2)."",""Use the Gestalt principle of Similarity to color-code the letters versus the numbers."",""Apply the Gutenberg Diagram to move the input field to the bottom right of the tablet.""}"
cmprv167c000t13jrh16q75ho,cmpqmdp7u000d14l6kj78bmhe,"A travel booking app updates the final ""Taxes and Fees"" cost in a small font at the absolute bottom of the screen while the user is actively typing their credit card details at the top of the screen. The user complains later they were overcharged. What human limitation caused this?",C,1,Humans are remarkably poor at noticing changes in their visual field if their active attention is focused elsewhere (the keyboard/input fields). State changes disconnected from the focal point require animation or clear notifications to be perceived.,,"{""Saccadic masking"",""Visual Hierarchy failure"",""Change Blindness"",""Fitts's Law""}"
cmprv16sd000x13jret4bbu2s,cmpqmdp7u000d14l6kj78bmhe,"An electric vehicle dashboard uses a digital representation of a traditional swinging gas needle (E to F) to display the battery level, rather than a smartphone-style battery icon. What is the primary UX justification for this?",B,1,Mental models are deeply ingrained. Using a familiar conceptual metaphor (the gas gauge) helps users instantly understand a new underlying technology (battery state of charge) without friction.,,"{""It reduces the processing power required by the car's computer."",""It leverages a legacy mental model, significantly reducing the learning curve for drivers transitioning from combustion engines to EVs."",""It is a requirement of international accessibility standards."",""It violates Jakob's Law to appear more innovative.""}"
cmprv17da001113jrhid2ydwt,cmpqmdp7u000d14l6kj78bmhe,"A text-heavy Terms of Service page forces users to scroll to the bottom. The designer places the primary ""I Agree"" button isolated in the bottom-left corner of the layout. Based on established scanning patterns for western readers, why will this cause a momentary visual stutter?",B,1,The Gutenberg Diagram maps reading gravity. The bottom-left is a blind spot during a sweeping scan. Concluding actions belong in the Terminal Area (bottom-right) or explicitly centered.,,"{""The bottom-left is the Primary Optical Area."",""The bottom-left is the Weak Fallow Area; the eye naturally sweeps across and down to terminate in the bottom-right corner."",""It forces a Z-Pattern instead of an F-Pattern."",""It violates the Gestalt principle of symmetry.""}"
cmprv12ot000513jrdy1ts1hd,cmpqm5kgg000114l6b5r21daw,"A user accidentally deletes a critical, shared folder in a cloud storage workspace. Which post-error recovery mechanism is empirically most effective for minimizing user anxiety and interaction cost?",C,1,"While (B) is error prevention, (C) is the gold standard for Error Recovery. A contextual ""Undo"" toast allows the user to immediately fix a motor error with a single click, completely bypassing the friction of a multi-step recycle bin.",,"{""A multi-step process requiring the user to navigate to a global \""Recycle Bin,\"" search for the folder, and click \""Restore.\"""",""A modal pop-up forcing the user to type the word \""DELETE\"" to confirm the action beforehand."",""A non-intrusive, 10-second contextual \""Undo\"" notification that floats at the bottom of the screen immediately after the action."",""An automated email sent to the workspace administrator requesting permission to undelete the file.""}"
cmprv13ax000913jrnmol67kk,cmpqm5kgg000114l6b5r21daw,"A car seat adjuster uses four identical buttons arranged in a perfect horizontal row on the door panel. From left to right, they control: Seat Height, Backrest Tilt, Forward/Backward slide, and Lumbar support. Why do users constantly press the wrong button?",B,1,This is a failure of Natural Mapping. A horizontal row of buttons provides zero spatial cues for vertical height or rotational tilt. The controls must map to the physical reality they manipulate.,,"{""The controls lack haptic feedback."",""The spatial arrangement of the physical controls does not correlate to the spatial dimensions of the physical seat."",""The buttons are violating Fitts's Law."",""The system lacks an escape hatch.""}"
cmprv13vw000d13jrxc8zctu1,cmpqm5kgg000114l6b5r21daw,"A simple, beloved note-taking application is acquired by a larger company. Over two years, the developers add task dependencies, Gantt charts, team chat, and CRM integrations. Core users begin abandoning the app, complaining it is ""too heavy."" This is the direct result of:",A,1,"This is the practical impact of Feature Creep. Continual addition of features without ruthless pruning clutters the UI, destroying the primary workflow and imposing a massive cognitive load on users who only wanted a simple tool.",,"{""The system's conceptual model shifting too far, overwhelming the user's original mental model via scope expansion."",""A violation of the LATCH principle."",""Sensory Adaptation."",""The Zeigarnik Effect.""}"
cmprv14r9000j13jrlfkub4ia,cmpqm5kgg000114l6b5r21daw,"A user is filling out a complex, multi-page government application. If they accidentally hit the ""Back"" button on their browser, all 40 fields of data are wiped out. From a defensive design perspective, what is the most robust systemic fix?",B,1,Good error recovery anticipates that users will make mistakes (like hitting the browser back button). Auto-saving protects the user's labor without requiring them to change their natural browsing behavior.,,"{""Place a warning label at the top of the page telling users not to use the browser back button."",""Implement continuous background auto-saving (session storage) so the data persists regardless of user navigation errors."",""Make the \""Next\"" button larger and green."",""Break the 40 fields into 40 separate pages to limit data loss.""}"
cmprv12ec000313jrh0428jig,cmpqm5kgg000114l6b5r21daw,"A finance manager accidentally submits a massive payroll run with a misplaced decimal point. The system immediately processes it, but provides a highly detailed error log on the next screen and a phone number to call IT support. What is the fundamental UX failure regarding error handling?",A,1,"Providing documentation after a catastrophic action is a failure of Error Recovery. Good UX dictates that systems should either prevent the error via friction (confirmation) or provide an immediate, user-controlled reversal mechanism.",,"{""The system failed to provide active, immediate system-level recovery (such as a temporary reversal or \""Undo\"" state) over passive documentation."",""The system's error log lacked sufficient technical jargon to explain the database failure."",""The system violated the Gestalt principle of Closure."",""The system failed to utilize a forgiving format for the decimal input.""}"
